ds,y
2017-02-14,18.3
2017-02-15,18.25
2017-02-16,18.2
2017-02-17,18.05
2017-02-20,18.0
2017-02-21,18.0
2017-02-22,18.0
2017-02-23,18.0
2017-02-24,18.1
2017-02-27,17.85
2017-02-28,17.75
2017-03-01,17.05
2017-03-02,17.0
2017-03-03,16.9
2017-03-06,16.8
2017-03-07,16.65
2017-03-08,16.2
2017-03-09,16.0
2017-03-10,16.9
2017-03-13,17.35
2017-03-14,18.25
2017-03-15,17.85
2017-03-16,17.55
2017-03-17,17.95
2017-03-20,18.0
2017-03-21,18.1
2017-03-22,18.1
2017-03-23,18.35
2017-03-24,18.45
2017-03-27,18.7
2017-03-28,18.6
2017-03-29,18.05
2017-03-30,17.95
2017-03-31,18.0
2017-04-03,18.45
2017-04-04,18.3
2017-04-05,18.3
2017-04-06,18.6
2017-04-07,18.65
2017-04-10,19.15
2017-04-11,19.25
2017-04-12,19.45
2017-04-13,19.6
2017-04-18,19.15
2017-04-19,19.2
2017-04-20,19.15
2017-04-21,19.15
2017-04-24,19.1
2017-04-25,18.95
2017-04-26,18.95
2017-04-27,19.0
2017-04-28,19.25
2017-05-02,19.55
2017-05-03,19.6
2017-05-04,19.65
2017-05-05,19.75
2017-05-08,20.5
2017-05-09,20.25
2017-05-10,20.0
2017-05-11,20.5
2017-05-12,20.25
2017-05-15,20.25
2017-05-16,20.25
2017-05-17,20.0
2017-05-18,20.25
2017-05-19,20.25
2017-05-22,20.5
2017-05-23,20.5
2017-05-24,21.0
2017-05-25,21.5
2017-05-26,21.75
2017-05-29,21.5
2017-05-30,21.0
2017-05-31,22.25
2017-06-02,22.5
2017-06-05,22.25
2017-06-06,22.0
2017-06-07,22.25
2017-06-08,22.25
2017-06-09,22.75
2017-06-12,22.75
2017-06-13,23.5
2017-06-14,23.0
2017-06-15,23.25
2017-06-16,23.5
2017-06-19,23.0
2017-06-20,22.75
2017-06-21,22.75
2017-06-22,23.25
2017-06-23,23.25
2017-06-27,23.5
2017-06-28,23.25
2017-06-29,23.0
2017-06-30,22.75
2017-07-03,23.0
2017-07-04,23.0
