Date,Price,Open,High,Low,Vol.,Change %
2019-01-14,23.5,23.6,23.65,23.25,22010000.0,0.43
2019-01-11,23.4,23.0,23.75,22.8,4880000.0,1.74
2019-01-10,23.0,22.4,24.0,22.4,24910000.0,3.14
2019-01-09,22.3,22.2,22.75,22.15,21760000.0,1.36
2019-01-08,22.0,21.8,22.2,21.5,1530000.0,2.56
2019-01-07,21.45,21.3,21.8,21.3,6280000.0,0.7
2019-01-04,21.3,22.0,22.0,21.0,2210000.0,-3.84
2019-01-03,22.15,22.25,22.5,21.8,12260000.0,-0.45
2019-01-02,22.25,23.0,23.0,22.2,1780000.0,0.23
2018-12-31,22.2,22.8,22.8,22.1,3680000.0,-2.84
2018-12-28,22.85,23.0,23.0,22.8,1270000.0,1.11
2018-12-27,22.6,23.0,23.0,22.55,1780000.0,0.0
2018-12-24,22.6,22.55,23.5,22.5,730100.0,1.35
2018-12-21,22.3,22.3,23.25,22.2,5640000.0,-0.67
2018-12-20,22.45,22.9,22.9,22.35,19300000.0,-1.97
2018-12-19,22.9,23.0,23.05,22.5,8359999.999999999,-0.43
2018-12-18,23.0,23.0,23.1,22.8,17100000.0,0.0
2018-12-17,23.0,22.95,23.25,22.5,6180000.0,0.44
2018-12-14,22.9,22.25,23.25,22.25,29990000.0,3.39
2018-12-13,22.15,23.0,23.0,21.9,22200000.0,0.45
2018-12-11,22.05,23.0,23.0,21.9,21140000.0,-2.65
2018-12-10,22.65,23.0,23.0,22.6,13200000.0,-1.52
2018-12-07,23.0,23.4,23.4,22.8,12990000.0,-1.71
2018-12-06,23.4,23.5,23.6,23.3,4440000.0,-1.06
2018-12-05,23.65,23.5,23.75,23.5,1770000.0,0.21
2018-12-04,23.6,23.75,23.75,23.5,3490000.0,-0.63
2018-12-03,23.75,23.75,23.8,23.55,2720000.0,0.0
2018-11-30,23.75,23.75,23.85,23.65,15240000.0,0.0
2018-11-29,23.75,24.0,24.0,23.5,10760000.0,-0.21
2018-11-28,23.8,24.0,24.0,23.75,16750000.0,0.0
2018-11-27,23.8,24.0,24.0,23.75,27430000.0,0.0
2018-11-26,23.8,23.75,24.0,23.6,10790000.0,0.21
2018-11-23,23.75,24.0,24.0,23.75,2450000.0,0.0
2018-11-22,23.75,23.75,24.0,23.75,683000.0,0.0
2018-11-21,23.75,23.5,24.0,23.5,7000000.0,1.06
2018-11-20,23.5,23.75,24.0,23.5,4660000.0,0.0
2018-11-19,23.5,23.75,24.0,23.5,2170000.0,-1.05
2018-11-16,23.75,24.0,24.25,23.5,7080000.0,0.0
2018-11-15,23.75,24.0,24.0,23.5,15070000.0,-1.04
2018-11-14,24.0,24.5,24.5,23.75,8870000.0,-1.03
2018-11-13,24.25,24.25,24.5,24.0,12010000.0,0.0
2018-11-12,24.25,24.0,24.5,23.75,10300000.0,0.0
2018-11-09,24.25,23.75,24.75,23.5,10310000.0,4.3
2018-11-08,23.25,23.25,23.75,23.25,9480000.0,2.2
2018-11-07,22.75,23.0,23.5,22.5,8630000.0,1.11
2018-11-06,22.5,23.5,24.0,22.5,5450000.0,-5.26
2018-11-05,23.75,24.5,24.5,23.0,4710000.0,-3.06
2018-11-02,24.5,23.75,25.0,23.75,4150000.0000000005,4.26
2018-11-01,23.5,23.75,23.75,23.0,47500000.0,1.08
2018-10-31,23.25,24.0,24.0,23.25,4660000.0,-1.06
2018-10-30,23.5,23.75,24.0,23.25,22060000.0,0.0
2018-10-29,23.5,23.5,24.0,23.5,9430000.0,0.0
2018-10-26,23.5,23.75,23.75,23.5,6970000.0,0.0
2018-10-25,23.5,23.75,23.75,23.25,9830000.0,0.0
2018-10-24,23.5,23.75,23.75,23.25,3620000.0,-1.05
2018-10-23,23.75,24.0,24.0,23.25,4290000.0,0.0
2018-10-22,23.75,23.75,24.5,23.5,6410000.0,0.0
2018-10-19,23.75,23.5,23.75,23.0,14030000.0,1.06
2018-10-18,23.5,23.75,24.25,23.0,12330000.0,-1.05
2018-10-17,23.75,23.75,24.25,23.75,4370000.0,1.06
2018-10-16,23.5,23.0,24.0,22.5,13370000.0,5.62
2018-10-15,22.25,23.0,23.5,21.75,8480000.0,-3.26
2018-10-12,23.0,24.0,24.0,22.75,7610000.0,-4.17
2018-10-11,24.0,25.0,25.0,23.5,7960000.0,-2.04
2018-10-09,24.5,24.75,25.0,24.25,3530000.0,0.0
2018-10-08,24.5,24.75,25.0,24.5,4290000.0,-1.01
